Time,Sensor,x,y,z
0.117,RHip,2.208391123,29,0.238002594
0.117,RKne,1.582369942,14.7440273,0.282808399
0.117,RAnk,0.334708849,2.1,0.240353698
0.117,LHip,0.423764629,28.15354839,0.165448852
0.117,LKne,1.701854775,14.84360902,0.231891348
0.117,LAnk,0.091153616,2.020490745,0.158402204
0.126,RHip,2.208391123,29,0.238002594
0.126,RKne,1.582369942,14.7440273,0.282808399
0.126,RAnk,0.334708849,2.1,0.240353698
0.126,LHip,0.423764629,28.15354839,0.165448852
0.126,LKne,1.701854775,14.84360902,0.231891348
0.126,LAnk,0.091153616,2.020490745,0.158402204
0.136,RHip,2.208391123,29,0.238002594
0.136,RKne,1.582369942,14.7440273,0.282808399
0.136,RAnk,0.334708849,2.1,0.240353698
0.136,LHip,0.423764629,28.15354839,0.165448852
0.136,LKne,1.701854775,14.84360902,0.231891348
0.136,LAnk,0.091153616,2.020490745,0.158402204
0.144,RHip,2.208391123,29,0.238002594
0.144,RKne,1.539017341,14.74360068,0.283464567
0.144,RAnk,0.334708849,2.1,0.241157556
0.144,LHip,0.423764629,28.15354839,0.165448852
0.144,LKne,1.701854775,14.84360902,0.231891348
0.144,LAnk,0.091153616,2.020490745,0.158402204
0.153,RHip,2.208391123,28.95219124,0.240596628
0.153,RKne,1.539017341,14.74360068,0.283464567
0.153,RAnk,0.334708849,2.1,0.241157556
0.153,LHip,0.41840052,28.16387097,0.163361169
0.153,LKne,1.701854775,14.84360902,0.231891348
0.153,LAnk,0.091153616,2.020490745,0.158402204
0.161,RHip,2.208391123,28.95219124,0.240596628
0.161,RKne,1.539017341,14.74360068,0.283464567
0.161,RAnk,0.334708849,2.1,0.241157556
0.161,LHip,0.41840052,28.16387097,0.163361169
0.161,LKne,1.704814522,14.84285714,0.232897384
0.161,LAnk,0.091153616,2.02057684,0.158402204
0.169,RHip,2.208391123,28.95219124,0.240596628
0.169,RKne,1.567919075,14.7440273,0.281496063
0.169,RAnk,0.334708849,2.1,0.241961415
0.169,LHip,0.41840052,28.16387097,0.163361169
0.169,LKne,1.704814522,14.84285714,0.232897384
0.169,LAnk,0.091153616,2.02057684,0.158402204
0.179,RHip,2.208391123,29,0.243190661
0.179,RKne,1.567919075,14.7440273,0.281496063
0.179,RAnk,0.334708849,2.1,0.241961415
0.179,LHip,0.434492848,28.12258065,0.160751566
0.179,LKne,1.704814522,14.84285714,0.232897384
0.179,LAnk,0.091153616,2.02057684,0.158402204
0.187,RHip,2.208391123,29,0.243190661
0.187,RKne,1.567919075,14.7440273,0.281496063
0.187,RAnk,0.334708849,2.1,0.241961415
0.187,LHip,0.434492848,28.12258065,0.160751566
0.187,LKne,1.755130229,14.84360902,0.234406439
0.187,LAnk,0.091153616,2.020490745,0.158861341
0.196,RHip,2.208391123,29,0.243190661
0.196,RKne,1.593208092,14.74360068,0.284776903
0.196,RAnk,0.334479597,2.1,0.242765273
0.196,LHip,0.434492848,28.12258065,0.160751566
0.196,LKne,1.755130229,14.84360902,0.234406439
0.196,LAnk,0.091153616,2.020490745,0.158861341
0.204,RHip,2.216019417,29,0.243190661
0.204,RKne,1.593208092,14.74360068,0.284776903
0.204,RAnk,0.334479597,2.1,0.242765273
0.204,LHip,0.46310143,28.0916129,0.163361169
0.204,LKne,1.755130229,14.84360902,0.234406439
0.204,LAnk,0.091153616,2.020490745,0.158861341
0.214,RHip,2.216019417,29,0.243190661
0.214,RKne,1.593208092,14.74360068,0.284776903
0.214,RAnk,0.334479597,2.1,0.242765273
0.214,LHip,0.46310143,28.0916129,0.163361169
0.214,LKne,1.698895028,14.8406015,0.233400402
0.214,LAnk,0.091004184,2.020447697,0.159320478
0.222,RHip,2.216019417,29,0.243190661
0.222,RKne,1.614884393,14.74360068,0.282808399
0.222,RAnk,0.334938102,2.1,0.241157556
0.222,LHip,0.46310143,28.0916129,0.163361169
0.222,LKne,1.698895028,14.8406015,0.233400402
0.222,LAnk,0.091004184,2.020447697,0.159320478
0.231,RHip,2.223647712,29,0.237354086
0.231,RKne,1.614884393,14.74360068,0.282808399
0.231,RAnk,0.334938102,2.1,0.241157556
0.231,LHip,0.461313394,28.16387097,0.167536534
0.231,LKne,1.698895028,14.8406015,0.233400402
0.231,LAnk,0.091004184,2.020447697,0.159320478
0.239,RHip,2.223647712,29,0.237354086
0.239,RKne,1.614884393,14.74360068,0.282808399
0.239,RAnk,0.334938102,2.1,0.241157556
0.239,LHip,0.461313394,28.16387097,0.167536534
0.239,LKne,1.710734017,14.84135338,0.232897384
0.239,LAnk,0.091153616,2.020533793,0.158402204
0.247,RHip,2.223647712,29,0.237354086
0.247,RKne,1.600433526,14.7440273,0.279527559
0.247,RAnk,0.334938102,2.1,0.241961415
0.247,LHip,0.461313394,28.16387097,0.167536534
0.247,LKne,1.710734017,14.84135338,0.232897384
0.247,LAnk,0.091153616,2.020533793,0.158402204
0.257,RHip,2.231276006,29,0.234760052
0.257,RKne,1.600433526,14.7440273,0.279527559
0.257,RAnk,0.334938102,2.1,0.241961415
0.257,LHip,0.46310143,28.06064516,0.169102296
0.257,LKne,1.710734017,14.84135338,0.232897384
0.257,LAnk,0.091153616,2.020533793,0.158402204
0.265,RHip,2.231276006,29,0.234760052
0.265,RKne,1.600433526,14.7440273,0.279527559
0.265,RAnk,0.334938102,2.1,0.241961415
0.265,LHip,0.46310143,28.06064516,0.169102296
0.265,LKne,1.766969219,14.84736842,0.232897384
0.265,LAnk,0.091153616,2.02057684,0.158402204
0.274,RHip,2.231276006,29,0.234760052
0.274,RKne,1.585982659,14.74445392,0.284776903
0.274,RAnk,0.334708849,2.1,0.241157556
0.274,LHip,0.46310143,28.06064516,0.169102296
0.274,LKne,1.766969219,14.84736842,0.232897384
0.274,LAnk,0.091153616,2.02057684,0.158402204
0.282,RHip,2.240811373,29,0.242542153
0.282,RKne,1.585982659,14.74445392,0.284776903
0.282,RAnk,0.334708849,2.1,0.241157556
0.282,LHip,0.470253576,27.99870968,0.16388309
0.282,LKne,1.766969219,14.84736842,0.232897384
0.282,LAnk,0.091153616,2.02057684,0.158402204
0.291,RHip,2.240811373,29,0.242542153
0.291,RKne,1.585982659,14.74445392,0.284776903
0.291,RAnk,0.334708849,2.1,0.241157556
0.291,LHip,0.470253576,27.99870968,0.16388309
0.291,LKne,1.743291239,14.83984962,0.234909457
0.291,LAnk,0.091153616,2.020490745,0.158861341
0.3,RHip,2.240811373,29,0.242542153
0.3,RKne,1.575144509,14.74360068,0.286089239
0.3,RAnk,0.334938102,2.1,0.241157556
0.3,LHip,0.470253576,27.99870968,0.16388309
0.3,LKne,1.743291239,14.83984962,0.234909457
0.3,LAnk,0.091153616,2.020490745,0.158861341
0.309,RHip,2.242718447,29,0.241245136
0.309,RKne,1.575144509,14.74360068,0.286089239
0.309,RAnk,0.334938102,2.1,0.241157556
0.309,LHip,0.470253576,28.0916129,0.161795407
0.309,LKne,1.743291239,14.83984962,0.234909457
0.309,LAnk,0.091153616,2.020490745,0.158861341
0.317,RHip,2.242718447,29,0.241245136
0.317,RKne,1.575144509,14.74360068,0.286089239
0.317,RAnk,0.334938102,2.1,0.241157556
0.317,LHip,0.470253576,28.0916129,0.161795407
0.317,LKne,1.755130229,14.84511278,0.233400402
0.317,LAnk,0.091303048,2.020490745,0.158861341
0.325,RHip,2.242718447,29,0.241245136
0.325,RKne,1.557080925,14.74445392,0.279527559
0.325,RAnk,0.334708849,2.1,0.240353698
0.325,LHip,0.470253576,28.0916129,0.161795407
0.325,LKne,1.755130229,14.84511278,0.233400402
